species,gene,pvalue
Arabidopsis,AT3G12200,0.0009055911
Arabidopsis,AT3G24810,0.0009062769
Arabidopsis,AT3G23550,0.000906958
Arabidopsis,AT5G33390,0.0009084245
Arabidopsis,AT5G33399,0.0009084245
Arabidopsis,AT4G25440,0.000908898
Arabidopsis,AT4G25450,0.000908898
Arabidopsis,AT4G04953,0.0009102879
Arabidopsis,AT1G09220,0.0009137327
Arabidopsis,AT5G47980,0.0009141392
Arabidopsis,AT2G47210,0.0009142255
Arabidopsis,AT5G15660,0.0009158023
Arabidopsis,AT4G09760,0.0009178564
Arabidopsis,AT2G21130,0.0009191462
Arabidopsis,AT2G21330,0.0009191462
Arabidopsis,AT2G21590,0.0009191462
Arabidopsis,AT1G06230,0.0009191663
Arabidopsis,AT5G57310,0.0009212203
Arabidopsis,AT1G69900,0.0009227193
Arabidopsis,AT4G20880,0.0009249253
Arabidopsis,AT2G32440,0.000925045
Arabidopsis,AT2G43860,0.0009254224
Arabidopsis,AT5G42080,0.0009305158
Arabidopsis,AT3G18930,0.0009315168
Arabidopsis,AT1G15415,0.0009329142
Arabidopsis,AT2G42200,0.0009375796
Arabidopsis,AT2G42230,0.0009375796
Arabidopsis,AT2G42240,0.0009375796
Arabidopsis,AT3G18900,0.0009423719
Arabidopsis,AT4G34620,0.0009540823
Arabidopsis,AT4G02050,0.000957019
Arabidopsis,AT3G26616,0.0009572296
Arabidopsis,AT4G34230,0.0009598504
Arabidopsis,AT4G34240,0.0009598504
Arabidopsis,AT3G22310,0.000960488
Arabidopsis,AT1G45130,0.0009658325
Arabidopsis,AT1G32410,0.0009695431
Arabidopsis,AT5G02270,0.0009697081
Arabidopsis,AT2G45550,0.0009702713
Arabidopsis,AT4G31980,0.0009718514
Arabidopsis,AT2G21050,0.0009724337
Arabidopsis,AT5G24750,0.0009747468
Arabidopsis,AT5G24760,0.0009747468
Arabidopsis,AT5G03360,0.0009790929
Arabidopsis,AT5G65200,0.0009809445
Arabidopsis,AT1G55860,0.000982571
Arabidopsis,AT2G18100,0.0009862475
Arabidopsis,AT5G16486,0.0009863265
Arabidopsis,AT1G13220,0.0009874217
Arabidopsis,AT3G62270,0.0009912229
Arabidopsis,AT5G66140,0.0009919848
Arabidopsis,AT5G07410,0.0009924189
Arabidopsis,AT1G36160,0.0009961343
