GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
plant-type cell wall organization or biogenesis (GO:0071669)	349	154	133.58	+	1.15	2.65E-02
response to wounding (GO:0009611)	279	123	106.79	+	1.15	4.76E-02
regulation of metabolic process (GO:0019222)	3496	1541	1338.09	+	1.15	6.66E-14
regulation of primary metabolic process (GO:0080090)	2982	1314	1141.35	+	1.15	8.45E-12
signal transduction (GO:0007165)	2204	971	843.58	+	1.15	8.22E-09
sulfur compound metabolic process (GO:0006790)	370	163	141.62	+	1.15	2.36E-02
immune response (GO:0006955)	311	137	119.03	+	1.15	3.99E-02
response to chemical (GO:0042221)	3233	1424	1237.42	+	1.15	9.80E-13
root system development (GO:0022622)	616	271	235.77	+	1.15	3.33E-03
root development (GO:0048364)	614	270	235.01	+	1.15	3.74E-03
negative regulation of cellular process (GO:0048523)	1058	465	404.95	+	1.15	1.22E-04
immune system process (GO:0002376)	355	156	135.88	+	1.15	2.80E-02
polysaccharide metabolic process (GO:0005976)	517	227	197.88	+	1.15	9.16E-03
positive regulation of RNA metabolic process (GO:0051254)	615	270	235.39	+	1.15	4.30E-03
response to osmotic stress (GO:0006970)	591	259	226.2	+	1.14	5.41E-03
cell communication (GO:0007154)	2273	995	869.99	+	1.14	2.25E-08
positive regulation of metabolic process (GO:0009893)	846	370	323.8	+	1.14	1.07E-03
regulation of cellular process (GO:0050794)	5641	2467	2159.08	+	1.14	5.67E-21
cell morphogenesis (GO:0000902)	375	164	143.53	+	1.14	3.23E-02
signaling (GO:0023052)	2242	980	858.12	+	1.14	4.53E-08
cellular response to chemical stimulus (GO:0070887)	1735	758	664.07	+	1.14	2.03E-06
tissue development (GO:0009888)	689	301	263.71	+	1.14	3.30E-03
response to water (GO:0009415)	442	193	169.17	+	1.14	2.04E-02
positive regulation of biological process (GO:0048518)	1340	585	512.88	+	1.14	3.74E-05
positive regulation of cellular process (GO:0048522)	1095	478	419.11	+	1.14	2.04E-04
plant organ development (GO:0099402)	1167	509	446.67	+	1.14	1.51E-04
biological regulation (GO:0065007)	6370	2778	2438.1	+	1.14	2.93E-23
response to water deprivation (GO:0009414)	429	187	164.2	+	1.14	2.42E-02
response to acid chemical (GO:0001101)	475	207	181.81	+	1.14	1.73E-02
response to toxic substance (GO:0009636)	349	152	133.58	+	1.14	4.59E-02
leaf development (GO:0048366)	347	151	132.81	+	1.14	4.54E-02
regulation of biological process (GO:0050789)	6106	2657	2337.06	+	1.14	2.08E-21
developmental process involved in reproduction (GO:0003006)	1504	653	575.65	+	1.13	2.94E-05
post-embryonic development (GO:0009791)	1538	667	588.67	+	1.13	2.82E-05
system development (GO:0048731)	2031	880	777.36	+	1.13	1.44E-06
