,TN_maize,NHx_maize
SEEDGWAS1388:MRG:4:250105289,364,88.51000214
SEEDGWAS1389:MRG:4:250105290,440,88.51000214
SEEDGWAS139:MRG:4:250056107,501,599.789978
SEEDGWAS1390:MRG:4:250105291,663,88.51000214
SEEDGWAS1391:MRG:4:250105292,334,88.51000214
SEEDGWAS1392:MRG:4:250105293,364,88.51000214
SEEDGWAS1393:MRG:4:250105294,NA,10.93000031
SEEDGWAS1394:MRG:4:250105295,637,10.93000031
SEEDGWAS1395:MRG:4:250105296,NA,239.8899994
SEEDGWAS14:MRG:4:250054456,220,599.789978
SEEDGWAS1400:MRG:4:250105298,437,239.8899994
SEEDGWAS1401:MRG:4:250105299,466,239.8899994
SEEDGWAS1402:MRG:4:250105300,511,239.8899994
SEEDGWAS1403:MRG:4:250105301,511,239.8899994
SEEDGWAS1404:MRG:4:250105302,511,239.8899994
SEEDGWAS1407:MRG:4:250105305,229,863.25
SEEDGWAS1408:MRG:4:250105306,NA,940.4699707
SEEDGWAS1409:MRG:4:250105307,360,940.4699707
SEEDGWAS141:MRG:4:250056108,286,599.789978
SEEDGWAS1410:MRG:4:250105308,456,940.4699707
SEEDGWAS1411:MRG:4:250105309,178,485.8800049
SEEDGWAS1412:MRG:4:250105310,NA,485.8800049
SEEDGWAS1413:MRG:4:250105311,181,485.8800049
SEEDGWAS1414:MRG:4:250105312,341,863.25
SEEDGWAS1415:MRG:4:250105313,NA,485.8800049
SEEDGWAS1416:MRG:4:250105314,263,485.8800049
SEEDGWAS1417:MRG:4:250105315,157,485.8800049
SEEDGWAS1418:MRG:4:250105316,191,391.6099854
SEEDGWAS142:MRG:4:250056109,NA,599.789978
SEEDGWAS1421:MRG:4:250105317,229,863.25
SEEDGWAS1422:MRG:4:250105318,272,391.6099854
SEEDGWAS1424:MRG:4:250105320,NA,485.8800049
SEEDGWAS1427:MRG:4:250105322,224,99.68000031
SEEDGWAS1428:MRG:4:250105323,275,242.6100006
SEEDGWAS1429:MRG:4:250105324,278,134.0700073
SEEDGWAS143:MRG:4:250056110,356,162.4799957
SEEDGWAS1430:MRG:4:250105325,504,134.0700073
SEEDGWAS1431:MRG:4:250105326,NA,134.0700073
SEEDGWAS1432:MRG:4:250105327,213,539.8900146
SEEDGWAS1434:MRG:4:250105328,NA,539.8900146
SEEDGWAS1435:MRG:4:250105329,500,344.1400146
SEEDGWAS1436:MRG:4:250105330,262,539.8900146
SEEDGWAS1437:MRG:4:250105332,400,195.7400055
SEEDGWAS1438:MRG:4:250105333,241,134.0700073
